Date,Subways: Total Estimated Ridership,Subways: % Change From Pre-Pandemic Equivalent Day,Buses: Total Estimated Ridership,Buses: % Change From Pre-Pandemic Equivalent Day,LIRR: Total Estimated Ridership,LIRR: % Change From 2019 Monthly Weekday/Saturday/Sunday Average,Metro-North: Total Estimated Ridership,Metro-North: % Change From 2019 Monthly Weekday/Saturday/Sunday Average,Access-A-Ride: Total Scheduled Trips,Access-A-Ride: % Change From Pre-Pandemic Equivalent Day,Bridges and Tunnels: Total Traffic,Bridges and Tunnels: % Change From Pre-Pandemic Equivalent Day
11/2/2021,2847722,-48.6%,1129948,-46.3%,147800,-49%,129300,-50%,22016,-27.8%,853432,-4.3%
11/1/2021,3035837,-47.9%,1401001,-39.4%,158400,-46%,131300,-51%,21387,-29.0%,898451,-2.2%
10/31/2021,1746744,-39.3%,649187,-34.5%,68700,-27%,66300,-18%,12233,-27.6%,824978,6.2%
10/30/2021,2044386,-39.0%,815199,-41.2%,76500,-32%,69300,-28%,12642,-30.6%,854656,-7.7%
10/29/2021,3256051,-45.3%,1418435,-37.3%,153300,-49%,122600,-54%,22477,-25.7%,963442,-2.8%
10/28/2021,3373245,-41.6%,1509836,-30.5%,159600,-45%,132200,-49%,24814,-14.5%,959835,8.3%
10/27/2021,3307363,-45.1%,1499669,-36.4%,155900,-46%,129900,-50%,24144,-24.8%,914494,-1.2%
10/26/2021,2707803,-54.7%,1231524,-47.0%,130100,-55%,104500,-60%,21220,-31.8%,738636,-19.1%
10/25/2021,3001841,-47.9%,1460382,-37.0%,158300,-46%,125800,-53%,21724,-24.8%,883887,-3.3%
10/24/2021,1601810,-27.3%,659161,-24.4%,69600,-26%,68200,-15%,12314,-28.1%,883371,13.7%
10/23/2021,2079695,-37.7%,846978,-39.4%,74700,-34%,82900,-14%,13556,-24.0%,914737,-3.9%
10/22/2021,3232067,-45.3%,1471052,-35.9%,145800,-51%,126600,-53%,22843,-24.3%,986548,-2.0%
10/21/2021,3275163,-46.5%,1476381,-38.0%,149900,-48%,127300,-51%,24007,-25.2%,948652,-3.7%
10/20/2021,3241475,-46.5%,1525608,-36.4%,155200,-46%,131100,-49%,24474,-25.3%,916246,-3.1%
10/19/2021,3185458,-45.1%,1510722,-33.3%,153400,-47%,130000,-50%,23403,-22.0%,899389,2.8%
10/18/2021,2989693,-47.3%,1461843,-36.2%,153700,-47%,127400,-52%,21454,-21.9%,889996,1.8%
10/17/2021,1631844,-33.0%,663944,-32.2%,74800,-20%,69700,-13%,12564,-32.6%,891527,6.9%
10/16/2021,2044396,-39.2%,856990,-38.0%,83400,-26%,74900,-22%,13307,-24.7%,896392,-6.1%
10/15/2021,3233854,-46.1%,1491099,-34.7%,150900,-50%,124700,-54%,23251,-22.8%,990940,-3.7%
10/14/2021,3248072,-46.6%,1527543,-34.0%,154600,-46%,126800,-51%,24144,-23.0%,952876,-1.7%
10/13/2021,3164655,-45.9%,1511356,-31.1%,151300,-47%,124800,-52%,24396,-21.6%,907632,-0.2%
10/12/2021,3110171,-47.1%,1514608,-35.6%,154600,-46%,128200,-51%,23848,-21.3%,910639,-0.4%
10/11/2021,2267498,-46.8%,1045865,-36.0%,131700,-55%,114500,-57%,16917,-11.1%,878443,2.9%
10/10/2021,1499551,-43.6%,601821,-44.2%,65600,-30%,59000,-27%,11794,-36.2%,806025,-10.0%
10/9/2021,2052746,-37.2%,856308,-37.9%,84600,-25%,82000,-15%,13634,-22.1%,919384,-2.2%
10/8/2021,3175133,-45.9%,1473912,-35.4%,153800,-49%,123600,-54%,23356,-21.7%,1001210,-3.0%
10/7/2021,3198045,-47.1%,1523168,-35.8%,150100,-48%,121400,-53%,24571,-21.9%,951212,-2.1%
10/6/2021,3147958,-47.1%,1532668,-36.6%,149600,-48%,123100,-52%,24678,-20.5%,913993,-1.3%
10/5/2021,3098187,-45.9%,1499767,-35.0%,150200,-48%,124700,-52%,23644,-22.2%,887129,1.0%
10/4/2021,2870940,-49.8%,1419155,-39.6%,152600,-47%,121300,-54%,21794,-25.2%,871945,-3.6%
10/3/2021,1577642,-37.4%,673253,-37.4%,74900,-20%,66800,-17%,12936,-32.8%,887540,2.0%
10/2/2021,2066222,-38.1%,883902,-37.2%,86600,-23%,80900,-16%,14145,-20.2%,923455,-1.3%
10/1/2021,3169206,-47.2%,1492942,-36.0%,140000,-53%,116200,-57%,23098,-22.7%,985786,-1.9%
9/30/2021,3153965,-47.6%,1516081,-34.3%,144800,-50%,121800,-53%,23555,-25.4%,953501,1.8%
9/29/2021,3070509,-48.4%,1513184,-37.4%,137500,-52%,120000,-54%,23323,-24.9%,886785,-4.2%
9/28/2021,2934542,-51.2%,1457421,-38.9%,141200,-51%,118300,-55%,21727,-27.8%,831192,-9.9%
9/27/2021,2880083,-50.0%,1489441,-36.4%,146200,-50%,121500,-54%,21209,-24.3%,881116,-4.6%
9/26/2021,1616915,-36.3%,657257,-39.9%,80100,-14%,64900,-19%,12034,-35.7%,895286,-2.5%
9/25/2021,2132211,-33.6%,872490,-37.4%,88500,-22%,81300,-16%,13909,-18.3%,953628,-1.8%
9/24/2021,3128041,-46.9%,1469705,-36.3%,142800,-52%,116700,-57%,21941,-23.5%,986694,-3.4%
9/23/2021,3022830,-50.2%,1483075,-37.4%,140100,-51%,115500,-56%,23031,-24.7%,915198,-6.0%
9/22/2021,3027925,-50.1%,1506211,-37.3%,139900,-51%,120100,-54%,23157,-27.2%,872883,-7.9%
9/21/2021,3025310,-49.7%,1505803,-36.8%,142700,-51%,123900,-52%,22399,-25.5%,860050,-6.8%
9/20/2021,2889759,-49.8%,1481676,-36.8%,148100,-49%,122100,-54%,21889,-21.9%,895109,-3.0%
9/19/2021,1598720,-38.9%,674024,-39.8%,69400,-26%,64100,-20%,12612,-32.6%,914623,-2.1%
9/18/2021,2017430,-39.3%,871175,-38.9%,77300,-31%,76300,-21%,14054,-20.5%,949178,-2.5%
9/17/2021,3034676,-49.3%,1456201,-37.4%,142100,-53%,119300,-56%,23282,-19.3%,982085,-3.2%
9/16/2021,2539853,-57.9%,1210069,-50.0%,128000,-56%,107700,-59%,20826,-32.8%,864413,-11.8%
9/15/2021,2993744,-50.1%,1503627,-38.2%,139900,-51%,116400,-55%,23966,-25.4%,904733,-4.2%
9/14/2021,3017947,-49.4%,1511145,-37.6%,144900,-50%,120500,-54%,23132,-24.7%,908024,-2.5%
9/13/2021,2858929,-49.7%,1441516,-39.1%,147800,-49%,122500,-54%,21898,-22.5%,914827,-1.5%
9/12/2021,1591655,-37.9%,694561,-37.4%,77000,-18%,59000,-27%,12239,-33.8%,899864,-2.1%
9/11/2021,1985273,-36.7%,870791,-37.1%,82200,-27%,65300,-32%,13070,-22.6%,917704,-2.3%
9/10/2021,2845820,-51.6%,1322430,-43.6%,150900,-50%,113500,-58%,23037,-21.9%,995486,-2.0%
9/9/2021,2708091,-54.5%,1249341,-48.0%,139500,-52%,111700,-57%,23653,-23.9%,911040,-6.2%
9/8/2021,2534847,-54.0%,1192895,-45.3%,135700,-53%,110900,-57%,22354,-26.6%,896020,-4.4%
9/7/2021,2238469,-57.9%,1102372,-48.1%,137600,-52%,113700,-56%,21143,-26.2%,902400,-5.2%
9/6/2021,1523354,-31.7%,733947,-22.6%,77900,-17%,51300,-81%,10077,5.5%,812884,9.6%
9/5/2021,1416893,-43.2%,618622,-42.9%,71000,-24%,45200,-44%,11931,-36.3%,832200,-7.2%
9/4/2021,1779743,-39.0%,834456,-37.7%,84800,-25%,57100,-41%,13382,-18.2%,927358,-1.5%
9/3/2021,2394842,-51.2%,1221668,-39.0%,139800,-53%,97900,-64%,22585,-15.5%,1014806,-1.9%
9/2/2021,1664178,-68.5%,1188941,-43.0%,105600,-63%,N/A,N/A,21179,-24.2%,851145,-16.7%
9/1/2021,2298999,-55.8%,1086148,-46.3%,118400,-59%,90600,-65%,20878,-28.1%,811053,-14.2%
8/31/2021,2537974,-51.3%,1246463,-39.4%,133600,-54%,99900,-62%,22724,-19.4%,936181,-0.5%
8/30/2021,2325695,-52.3%,1182908,-39.0%,131600,-55%,97100,-63%,19224,-24.3%,911105,-1.6%
8/29/2021,1400642,-43.9%,630281,-41.8%,68800,-26%,54100,-33%,11558,-38.3%,890505,-0.7%
8/28/2021,1661095,-43.0%,776489,-42.0%,69000,-39%,56200,-42%,12760,-22.0%,890293,-5.4%
8/27/2021,2392602,-51.3%,1147249,-42.7%,119700,-60%,90500,-66%,21211,-20.6%,973335,-5.9%
8/26/2021,2485132,-52.9%,1222996,-41.3%,122100,-58%,91000,-65%,22068,-21.1%,950534,-6.9%
8/25/2021,2503420,-51.8%,1236342,-38.9%,127400,-56%,93300,-64%,23351,-19.6%,957036,1.3%
8/24/2021,2467406,-52.7%,1234884,-40.0%,130600,-55%,98300,-62%,22679,-19.6%,942935,0.2%
8/23/2021,2056731,-57.8%,1032792,-46.7%,110000,-62%,84200,-68%,18809,-25.9%,821654,-11.2%
8/22/2021,745800,-68.0%,369246,-66.5%,27500,-71%,16100,-80%,7979,-55.0%,489334,-47.3%
8/21/2021,1716439,-40.8%,822340,-40.3%,72800,-35%,62000,-36%,13046,-21.0%,941331,-4.4%
8/20/2021,2460924,-49.6%,1183308,-37.7%,124600,-58%,99500,-63%,21451,-20.7%,969814,-4.2%
8/19/2021,2444495,-52.1%,1194375,-39.9%,117400,-59%,93000,-64%,21838,-22.8%,939085,-5.8%
8/18/2021,2450516,-51.7%,1210760,-38.8%,117200,-59%,97900,-62%,22715,-22.1%,917872,-3.6%
8/17/2021,2432692,-52.4%,1209633,-39.9%,120700,-58%,103600,-60%,22245,-21.5%,909180,-4.5%
8/16/2021,2292396,-52.5%,1170216,-39.0%,123900,-57%,100300,-62%,20087,-22.7%,910779,-3.2%
8/15/2021,1430620,-37.1%,661705,-39.2%,73000,-22%,54400,-32%,12395,-30.9%,918288,0.7%
8/14/2021,1718222,-40.0%,811826,-41.3%,75700,-33%,57700,-40%,13157,-20.7%,904780,-4.5%
8/13/2021,2434624,-51.5%,1189426,-39.9%,123800,-59%,91900,-66%,21336,-21.2%,973883,-3.4%
8/12/2021,2453353,-53.9%,1223666,-40.4%,119700,-58%,90800,-65%,22427,-22.1%,965578,-3.2%
8/11/2021,2480877,-52.7%,1246306,-38.5%,119700,-58%,94700,-63%,23338,-22.2%,931264,-1.7%
8/10/2021,2447231,-52.4%,1245670,-36.9%,122500,-58%,95300,-63%,23079,-18.2%,905508,-0.1%
8/9/2021,2294279,-54.4%,1183050,-40.5%,109900,-62%,95600,-64%,20540,-21.6%,891525,-5.8%
8/8/2021,1333885,-46.2%,598574,-45.6%,61100,-35%,54300,-32%,11934,-33.0%,843489,-7.8%
8/7/2021,1780458,-41.1%,836715,-39.3%,76800,-32%,67300,-30%,14108,-17.0%,923751,-5.6%
8/6/2021,2523944,-51.2%,1222343,-39.3%,123200,-59%,101200,-62%,22179,-19.0%,979833,-4.2%
8/5/2021,2534287,-53.4%,1259332,-40.1%,120000,-58%,98300,-62%,22610,-22.2%,956306,-4.4%
8/4/2021,2534018,-51.8%,1257876,-36.8%,123700,-57%,99300,-62%,23611,-19.7%,921068,0.6%
8/3/2021,2489064,-53.5%,1262043,-40.3%,123900,-57%,103200,-60%,22828,-21.7%,904753,-3.2%
8/2/2021,2338722,-54.5%,1208484,-41.4%,126200,-57%,102300,-62%,19824,-26.1%,903514,-4.0%
8/1/2021,1351294,-44.8%,629963,-44.3%,66000,-29%,52000,-35%,11627,-37.0%,869092,-6.1%
7/31/2021,1841007,-38.8%,857333,-38.6%,85400,-24%,67100,-30%,13932,-16.4%,953445,1.5%
7/30/2021,2562489,-50.9%,1235623,-39.7%,131900,-56%,103500,-61%,22127,-19.2%,988596,-3.0%
7/29/2021,2433507,-55.5%,1186642,-44.9%,120300,-58%,94700,-64%,22164,-23.3%,918380,-9.0%
7/28/2021,2539760,-52.6%,1276296,-37.6%,126800,-56%,100000,-61%,23145,-21.4%,932094,-1.3%
7/27/2021,2493079,-53.8%,1267804,-40.2%,128300,-56%,103000,-60%,22609,-21.9%,918908,-3.1%
7/26/2021,2323169,-54.9%,1219135,-40.9%,129900,-55%,101300,-62%,19910,-24.6%,907205,-3.9%
7/25/2021,1364830,-44.0%,625645,-44.4%,66400,-29%,53100,-34%,11419,-36.9%,864361,-9.2%
7/24/2021,1852402,-39.3%,856250,-38.8%,84900,-25%,68600,-29%,14042,-16.9%,950568,-3.4%
7/23/2021,2557043,-51.9%,1219255,-40.2%,130500,-56%,101100,-62%,22314,-19.2%,985198,-5.1%
7/22/2021,2587338,-53.5%,1279778,-40.5%,127300,-56%,102300,-61%,23122,-21.2%,963493,-5.0%
7/21/2021,2509502,-55.2%,1225595,-43.8%,121500,-58%,104900,-59%,22865,-24.8%,914902,-6.6%
7/20/2021,2467017,-53.3%,1217802,-40.0%,125800,-56%,107000,-59%,22213,-23.5%,924495,1.0%
7/19/2021,2332473,-53.9%,1208792,-39.3%,126700,-56%,103400,-61%,20276,-23.0%,897298,-1.7%
7/18/2021,1405344,-35.5%,640618,-37.9%,67400,-28%,56200,-30%,11313,-26.8%,838604,-4.0%
7/17/2021,1717480,-35.1%,795347,-37.4%,73000,-35%,64500,-33%,13228,-11.8%,897001,-3.0%
7/16/2021,2541195,-51.2%,1219118,-40.6%,123500,-59%,104300,-61%,21730,-19.4%,983846,-4.3%
7/15/2021,2586791,-52.2%,1275846,-37.6%,125600,-56%,105200,-60%,23772,-18.0%,971048,-0.7%
7/14/2021,2522633,-54.0%,1260044,-40.4%,120500,-58%,101800,-61%,23662,-22.5%,919213,-2.9%
7/13/2021,2462643,-55.6%,1239045,-42.8%,123400,-57%,105300,-59%,22286,-25.7%,895705,-6.3%
7/12/2021,2249975,-57.5%,1171521,-44.1%,120500,-59%,99000,-63%,20623,-23.6%,866231,-8.8%
7/11/2021,1367403,-43.9%,635511,-43.7%,62600,-33%,53200,-34%,11725,-34.8%,830775,-12.5%
7/10/2021,1783921,-41.2%,855908,-41.1%,73000,-35%,64400,-33%,14518,-15.3%,925950,-6.9%
7/9/2021,2322712,-57.0%,1115969,-45.2%,109400,-63%,88300,-67%,20632,-25.7%,888932,-12.6%
7/8/2021,2369035,-56.9%,1164513,-44.0%,116300,-60%,93200,-64%,22941,-22.6%,897858,-7.5%
7/7/2021,2442092,-56.2%,1234617,-43.4%,122600,-57%,99100,-62%,23637,-21.4%,926634,-3.4%
7/6/2021,2306692,-57.8%,1181416,-45.6%,127900,-56%,100500,-61%,22648,-24.0%,903777,-4.8%
7/5/2021,1497714,-35.3%,770321,-30.1%,78400,-16%,59700,-78%,10303,-43.1%,838087,-9.3%
7/4/2021,1470325,-46.0%,615001,-44.9%,70200,-25%,63900,-20%,12816,-1.6%,773629,-11.7%
7/3/2021,1543756,-40.5%,738089,-42.2%,63800,-43%,57400,-41%,12676,-12.6%,777262,-2.1%
7/2/2021,2300302,-41.0%,1121116,-36.3%,116500,-61%,94300,-65%,21489,-3.2%,920188,7.6%
7/1/2021,2297059,-58.2%,1104516,-46.9%,114400,-60%,90000,-65%,22011,-25.7%,933638,21.4%
6/30/2021,2350864,-55.0%,1139886,-45.3%,119400,-58%,99500,-62%,23001,-23.1%,945822,-6.3%
6/29/2021,2348456,-56.0%,1169268,-43.8%,119400,-59%,97800,-62%,21612,-26.8%,930011,-1.8%
6/28/2021,2256926,-56.7%,1152019,-43.6%,122300,-58%,101500,-62%,20503,-23.1%,924740,-3.5%
6/27/2021,1561403,-48.3%,656004,-40.4%,75100,-20%,62400,-22%,11883,-30.4%,900039,-3.5%
6/26/2021,1855861,-41.8%,841585,-36.9%,76600,-32%,66700,-31%,13520,-15.9%,950086,-1.8%
6/25/2021,2587425,-52.7%,1214123,-39.1%,126700,-58%,100500,-63%,22400,-19.7%,988675,-5.5%
6/24/2021,2557684,-54.8%,1248843,-40.1%,121500,-58%,100500,-61%,22842,-22.9%,978351,-6.3%
6/23/2021,2552443,-56.0%,1264095,-44.0%,121900,-57%,101900,-61%,24223,-21.2%,946870,-6.8%
6/22/2021,2359521,-57.3%,1172110,-44.3%,116200,-60%,97600,-62%,22293,-25.3%,896868,-6.2%
6/21/2021,2268969,-58.1%,1191844,-43.9%,123900,-57%,95700,-64%,20512,-24.5%,926300,-5.5%
6/20/2021,1389352,-47.1%,652557,-41.9%,77000,-18%,60900,-24%,13189,-29.5%,951631,-1.7%
6/19/2021,1784312,-45.9%,841519,-40.0%,76500,-32%,66100,-31%,13949,-19.8%,952944,-5.0%
6/18/2021,2576562,-53.6%,1235675,-33.9%,122800,-59%,104300,-61%,22491,-21.2%,989296,-3.6%
6/17/2021,2557486,-55.1%,1281552,-37.2%,121600,-58%,98400,-62%,23292,-22.2%,973485,-2.6%
6/16/2021,2524189,-56.0%,1288040,-41.3%,119200,-58%,94700,-63%,24788,-20.6%,945955,-2.5%
6/15/2021,2474710,-55.9%,1277203,-39.2%,117600,-59%,96700,-63%,23460,-22.2%,917933,-1.3%
6/14/2021,2227391,-59.2%,1176722,-46.0%,115300,-60%,91100,-66%,21568,-20.8%,869235,-8.5%
6/13/2021,1379959,-40.8%,647385,-38.2%,59200,-37%,51700,-36%,12047,-35.4%,887098,-4.8%
6/12/2021,1775538,-44.5%,849178,-40.5%,68200,-40%,61500,-36%,14450,-19.5%,919318,-9.0%
6/11/2021,2472629,-56.7%,1221484,-45.3%,118300,-61%,94600,-65%,23324,-19.3%,968763,-7.0%
6/10/2021,2478619,-56.6%,1276901,-41.5%,113200,-61%,91300,-65%,23498,-20.4%,951274,-2.1%
6/9/2021,2390612,-59.4%,1259005,-46.0%,107900,-62%,90600,-65%,23868,-25.5%,908563,-7.3%
6/8/2021,2270152,-60.6%,1175335,-47.5%,108300,-62%,88000,-66%,22948,-21.9%,878376,-8.5%
6/7/2021,2227613,-57.8%,1200737,-41.5%,112100,-61%,89400,-66%,21511,-17.4%,897208,2.2%
6/6/2021,1363344,-47.4%,654780,-39.7%,61900,-34%,51500,-36%,12514,-30.2%,921829,3.4%
6/5/2021,1792204,-45.2%,874545,-38.2%,72800,-35%,62700,-35%,14636,-18.1%,946758,-2.3%
6/4/2021,2314340,-59.2%,1160335,-48.0%,104600,-65%,88900,-67%,22743,-21.3%,930743,-9.7%
6/3/2021,2238336,-60.9%,1143159,-47.2%,102800,-64%,84800,-67%,23026,-22.8%,895524,-10.9%
6/2/2021,2348517,-59.2%,1249102,-45.3%,112500,-61%,90800,-65%,24325,-21.3%,910385,-5.7%
6/1/2021,2263536,-59.1%,1230127,-41.7%,114800,-60%,94900,-63%,22308,-24.7%,907698,-4.6%
5/31/2021,1391302,-46.6%,702801,-39.0%,102300,-68%,63000,-78%,10380,-3.8%,756187,-20.9%
5/30/2021,1066132,-57.9%,484864,-55.3%,43400,-55%,47200,-55%,10028,-44.5%,664029,-25.9%
5/29/2021,1371467,-56.8%,648192,-54.4%,54800,-54%,71700,-52%,11734,-32.4%,744860,-22.9%
5/28/2021,2236646,-61.2%,1135369,-48.7%,112800,-65%,89300,-69%,21520,-22.9%,931760,-11.2%
5/27/2021,2356638,-59.0%,1246269,-43.0%,117300,-63%,90600,-68%,23450,-18.1%,970920,-0.5%
5/26/2021,2280311,-60.0%,1241052,-43.7%,114500,-64%,86700,-70%,23594,-19.8%,921084,-2.8%
5/25/2021,2275628,-58.1%,1253998,-42.4%,110900,-65%,85900,-70%,22854,-19.3%,902577,-2.5%
5/24/2021,2123129,-61.7%,1192453,-46.4%,105500,-67%,80800,-72%,21563,-24.2%,869940,10.5%
5/23/2021,1270286,-50.1%,645466,-39.3%,58000,-41%,63700,-39%,11765,-36.2%,885740,1.0%
5/22/2021,1647055,-45.3%,839877,-37.0%,66300,-44%,94500,-37%,13397,-15.4%,911148,0.9%
5/21/2021,2336140,-56.9%,1221591,-44.5%,110100,-66%,90900,-68%,22520,-19.0%,965528,-8.1%
5/20/2021,2273912,-60.0%,1243965,-43.2%,106600,-67%,82700,-71%,23659,-20.4%,931659,-8.1%
5/19/2021,2261916,-61.6%,1253578,-46.1%,104800,-67%,82700,-71%,23784,-23.9%,915644,-7.7%
5/18/2021,2154370,-63.2%,1215676,-47.6%,100400,-69%,80300,-72%,22367,-25.6%,838307,-13.5%
5/17/2021,2026574,-63.7%,1157960,-49.0%,98500,-69%,77300,-73%,20779,-24.7%,810018,-16.2%
5/16/2021,1201918,-54.2%,621750,-44.3%,49200,-50%,56800,-45%,11062,-40.8%,814177,-14.1%
5/15/2021,1637242,-51.9%,844096,-40.8%,63100,-47%,91100,-40%,13516,-23.4%,891574,-10.4%
5/14/2021,2270937,-60.4%,1220112,-45.5%,104900,-67%,85700,-70%,22437,-21.5%,947064,-10.2%
5/13/2021,2167164,-63.4%,1182347,-49.2%,103000,-68%,80000,-72%,23439,-22.2%,918259,-10.0%
5/12/2021,2186470,-62.9%,1238990,-47.4%,98900,-69%,77900,-73%,23946,-25.1%,887381,-9.3%
5/11/2021,2152549,-62.7%,1231886,-46.7%,97400,-70%,75400,-74%,22751,-23.1%,873176,-6.9%
5/10/2021,1993889,-63.4%,1149109,-45.9%,96800,-70%,73300,-74%,20751,-21.2%,844563,-6.7%
5/9/2021,1108734,-46.5%,576000,-30.9%,54100,-45%,59300,-43%,13897,-29.1%,854809,0.3%
5/8/2021,1444674,-55.1%,779188,-45.7%,56300,-52%,78700,-48%,13339,-26.5%,854156,-13.9%
5/7/2021,2241860,-60.2%,1222741,-45.9%,101600,-68%,83100,-71%,22730,-20.2%,936747,-8.1%
5/6/2021,2204111,-62.6%,1258536,-46.8%,94200,-70%,76000,-73%,23792,-22.8%,905604,-8.3%
5/5/2021,2078394,-64.6%,1158445,-51.6%,92000,-71%,70300,-75%,23236,-27.1%,841968,-12.5%
5/4/2021,2124252,-63.5%,1227250,-48.1%,93100,-71%,72300,-75%,22962,-25.8%,851039,-9.1%
5/3/2021,1974754,-65.0%,1165505,-48.9%,91100,-71%,67100,-77%,21492,-24.1%,828506,-10.7%
5/2/2021,1153471,-50.5%,620063,-26.2%,41800,-57%,51300,-51%,11541,-34.1%,809865,1.6%
5/1/2021,1515211,-53.1%,818655,-41.0%,51100,-57%,76300,-49%,13263,-24.6%,849633,-9.1%
4/30/2021,2163175,-62.3%,1185321,-46.9%,93500,-70%,77700,-73%,22322,-22.2%,922720,-8.7%
4/29/2021,2032405,-65.5%,1166096,-50.3%,88700,-71%,69000,-76%,22201,-25.1%,873037,-11.2%
4/28/2021,2139820,-63.2%,1227777,-47.8%,92100,-70%,72900,-75%,24411,-20.8%,888723,-6.7%
4/27/2021,2045718,-64.5%,1198299,-47.6%,89000,-71%,69300,-76%,22603,-23.7%,839788,-9.6%
4/26/2021,1959131,-64.8%,1156913,-48.5%,89300,-71%,68600,-76%,21083,-22.6%,826605,-8.7%
4/25/2021,985027,-59.3%,540989,-45.5%,34100,-63%,37100,-64%,9777,-44.0%,695863,-16.9%
4/24/2021,1520057,-53.5%,809163,-39.5%,51600,-55%,78900,-47%,13351,-18.6%,854964,-7.3%
4/23/2021,2125087,-57.9%,1184193,-32.3%,92800,-70%,76100,-73%,22035,-13.2%,920588,2.0%
